11,bread,baked goods,14
39,pie,baked goods,4
44,muffins,baked goods,10
51,flour tortillas,baked goods,3
87,cake,baked goods,10
16,hummus,condiments,90
20,cocktail sauce,condiments,180
21,salad dressing,condiments,90
32,mustard,condiments,365
33,salsa,condiments,30
49,mayonnaise,condiments,60
57,pickles,condiments,90
58,jam,condiments,360
59,ketchup,condiments,180
82,barbecue sauce,condiments,120
89,chilli sauce,condiments,180
27,melons,fruits,14
28,strawberries,fruits,3
35,avocados,fruits,4
48,peaches,fruits,5
50,grapes,fruits,7
60,pineapple,fruits,7
72,grapefruit,fruits,21
73,oranges,fruits,21
77,nectarines,fruits,5
79,apples,fruits,42
80,plums,fruits,5
85,clementines,fruits,21
90,blueberries,fruits,14
92,pears,fruits,5
95,bananas,fruits,3
10,shellfish (fresh),protein,2
12,eggs,protein,21
13,beef sausage,protein,2
15,turkey (ground),protein,2
18,lunch meats,protein,5
23,venison,protein,3
24,pork sausage,protein,2
29,veal (ground),protein,2
36,bacon,protein,7
37,veal (fresh),protein,5
45,turkey,protein,2
47,pork (ground),protein,2
53,lamb (fresh),protein,5
61,chicken sausage,protein,14
62,ham slices,protein,4
74,beef (fresh),protein,5
76,pork (fresh),protein,5
81,fish (fresh),protein,2
86,beef (ground),protein,2
88,hot dogs,protein,14
91,chicken,protein,2
94,turkey sausage,protein,2
97,lamb (ground),protein,2
14,non-dairy milk,dairy,10
22,cottage cheese,dairy,14
31,butter,dairy,30
38,cheese (processed),dairy,28
42,cheese (shredded),dairy,30
43,milk,dairy,7
63,margarine,dairy,180
65,sour cream,dairy,14
70,cheese (soft),dairy,14
78,ricotta cheese,dairy,14
83,cream cheese,dairy,14
96,yogurt,dairy,14
99,cheese (hard),dairy,180
19,cucumbers,vegetables,6
25,spinach,vegetables,7
34,asparagus,vegetables,4
40,winter squash,vegetables,14
41,cabbage,vegetables,14
46,celery,vegetables,14
52,brussel sprouts,vegetables,5
55,corn on the cob,vegetables,2
56,summer squash,vegetables,5
64,zuchini,vegetables,5
66,tomatoes,vegetables,2
67,broccoli,vegetables,5
68,bagged greens,vegetables,5
71,cauliflower,vegetables,5
75,onions,vegetables,60
84,leaf lettuce,vegetables,7
98,carrots,vegetables,21
